,name,distance,latitude,longitude,api,query
213,Royal Canadian Legion,530,43.689211,-79.35438,foursquare,bar
214,The Greek Grill,583,43.689211,-79.35438,foursquare,bar
215,California Restaurant & Tavern,670,43.689211,-79.35438,foursquare,bar
216,Todmorden Mills Heritage Museum & Arts Centre,584,43.689211,-79.35438,foursquare,bar
217,Pottery Road Trailhead,789,43.689211,-79.35438,foursquare,bar
218,Goat Coffee Co,802,43.689211,-79.35438,foursquare,bar
219,The Barber's,658,43.689211,-79.35438,foursquare,bar
220,Bar+ Karaoke Lounge,315,43.656927,-79.378497,foursquare,bar
221,T Bar,416,43.656927,-79.378497,foursquare,bar
222,Pravda Vodka Bar,982,43.656927,-79.378497,foursquare,bar
223,Beer Bistro,840,43.656927,-79.378497,foursquare,bar
224,The Queen and Beaver Public House,408,43.656927,-79.378497,foursquare,bar
225,Hair of the Dog,662,43.656927,-79.378497,foursquare,bar
226,CRAFT Beer Market Toronto,761,43.656927,-79.378497,foursquare,bar
227,Woody's,842,43.656927,-79.378497,foursquare,bar
228,Pearl Diver,709,43.656927,-79.378497,foursquare,bar
229,Churchmouse & Firkin,869,43.656927,-79.378497,foursquare,bar
230,Bar+ Karaoke Lounge,768,43.658295,-79.372346,foursquare,bar
231,T Bar,861,43.658295,-79.372346,foursquare,bar
232,Stout Irish Pub,676,43.658295,-79.372346,foursquare,bar
233,The 3 Brewers,720,43.658295,-79.372346,foursquare,bar
234,The Queen and Beaver Public House,903,43.658295,-79.372346,foursquare,bar
235,House on Parliament,695,43.658295,-79.372346,foursquare,bar
236,Hair of the Dog,774,43.658295,-79.372346,foursquare,bar
237,Pearl Diver,759,43.658295,-79.372346,foursquare,bar
238,Woody's,934,43.658295,-79.372346,foursquare,bar
239,Churchmouse & Firkin,956,43.658295,-79.372346,foursquare,bar
240,The Low Bar,572,43.694015500000006,-79.2889842,foursquare,bar
241,Royal Canadian Legion Br 11,912,43.694015500000006,-79.2889842,foursquare,bar
242,Lcbo,387,43.694015500000006,-79.2889842,foursquare,bar
243,Starbucks,615,43.694015500000006,-79.2889842,foursquare,bar
244,Tim Hortons,790,43.694015500000006,-79.2889842,foursquare,bar
245,Metro,457,43.694015500000006,-79.2889842,foursquare,bar
246,Beer Store,330,43.694015500000006,-79.2889842,foursquare,bar
247,Esso,330,43.694015500000006,-79.2889842,foursquare,bar
248,Tim Hortons,461,43.694015500000006,-79.2889842,foursquare,bar
249,Double Sushi Japanese Restaurant,746,43.694015500000006,-79.2889842,foursquare,bar
250,Wychwood Barns Farmers' Market,123,43.6809164,-79.4229684,foursquare,bar
251,Bar Ape,394,43.6809164,-79.4229684,foursquare,bar
252,Ferro Bar & Cafe,450,43.6809164,-79.4229684,foursquare,bar
253,Honora Wise Guys Bar & Grill,230,43.6809164,-79.4229684,foursquare,bar
254,Pukka,505,43.6809164,-79.4229684,foursquare,bar
255,Dutch Dreams Icecream Parlor Toronto,356,43.6809164,-79.4229684,foursquare,bar
256,CocoaLatte,199,43.6809164,-79.4229684,foursquare,bar
257,Baker and Scone,261,43.6809164,-79.4229684,foursquare,bar
258,Queen of Persia,212,43.6809164,-79.4229684,foursquare,bar
259,Churrasco of St Clair,216,43.6809164,-79.4229684,foursquare,bar
260,Bull & Firkin,616,43.6910667,-79.39535,foursquare,bar
261,Kramer's Bar & Grill,841,43.6910667,-79.39535,foursquare,bar
262,Aroma Espresso Bar,459,43.6910667,-79.39535,foursquare,bar
263,Barnsteiner's,601,43.6910667,-79.39535,foursquare,bar
264,Midtown Gastro Hub,144,43.6910667,-79.39535,foursquare,bar
265,The Bagel House,431,43.6910667,-79.39535,foursquare,bar
266,Union Social Eatery,354,43.6910667,-79.39535,foursquare,bar
267,Capocaccia Cafe,595,43.6910667,-79.39535,foursquare,bar
268,Mani Pedi Spa,978,43.6910667,-79.39535,foursquare,bar
269,Shenanigan’s,394,43.6910667,-79.39535,foursquare,bar
270,St. Louis Bar and Grill,447,43.6975969,-79.39654,foursquare,bar
