,free_bikes,rating,review_count,distance,total
548,1,3.5,5,360.85604059349373,68
549,1,4.0,113,396.78853094485265,68
550,1,4.5,12,509.28236925031126,68
551,1,4.0,1,458.8243458465881,68
552,1,3.5,40,524.988110724675,68
553,1,4.5,56,607.8896877969024,68
554,1,4.0,16,709.8773231640306,68
555,1,3.5,17,411.0703985831405,68
556,1,3.5,37,399.9983357568724,68
557,1,4.0,25,410.4323054339109,68
558,1,3.5,37,638.006336307376,68
559,1,3.5,116,867.1891908586078,68
560,0,4.5,42,378.59157152823377,117
561,0,4.5,174,573.5123064199561,117
562,0,4.5,137,293.7017683592007,117
563,0,4.5,73,532.0277376628984,117
564,0,4.0,205,603.6239989394525,117
565,0,4.5,16,470.17003928702735,117
566,0,4.0,11,380.1200543134988,117
567,0,4.0,45,335.75019674991904,117
568,0,4.5,56,285.16225396598554,117
569,0,5.0,5,900.6738115861535,117
570,0,4.5,38,468.840170122486,117
571,0,3.5,301,596.4336846509633,117
572,0,4.5,13,504.5192776813002,117
573,0,4.5,20,654.0409382581241,117
574,0,4.0,37,568.0608619502945,117
575,0,4.5,45,290.1109801112328,117
576,0,4.5,39,497.70541538305366,117
577,0,4.0,255,571.8660944937199,117
578,0,4.0,117,787.7092015049864,117
579,0,5.0,8,712.3830735995772,117
580,10,5.0,27,414.8535206411311,700
581,10,4.5,330,578.7639345520906,700
582,10,4.0,5,140.69211439031028,700
584,10,4.5,36,125.10634565999555,700
585,10,5.0,39,152.95994726640023,700
586,10,4.5,22,155.60529197931416,700
587,10,4.5,15,811.8070872195277,700
588,10,4.5,18,147.31739847524173,700
589,10,4.5,11,347.3547802275285,700
590,10,4.5,193,536.6813706374813,700
591,10,4.0,25,90.90792550667328,700
592,10,4.0,276,142.11265553076728,700
593,10,4.0,28,402.2829351540447,700
596,10,5.0,1,124.70507263189538,700
597,10,5.0,8,194.96764542468202,700
598,10,4.5,129,444.08494547652026,700
599,10,4.5,9,677.089805273469,700
602,4,4.5,44,285.74383297786284,768
603,4,4.0,13,87.23087802007946,768
604,4,4.5,76,706.6101360135655,768
605,4,4.5,8,57.46596547915646,768
606,4,4.5,51,775.3713759829642,768
608,4,5.0,56,174.50178052732434,768
609,4,4.0,26,236.05584863627752,768
610,4,4.0,370,254.2525867369641,768
611,4,4.0,29,228.27502775348813,768
612,4,4.5,22,708.4672353785735,768
613,4,4.0,246,396.6599241048242,768
614,4,4.5,12,338.9405472510884,768
616,4,4.0,30,87.9094934659146,768
617,4,5.0,5,543.8754276880363,768
618,4,4.0,52,355.60040904252975,768
619,4,4.0,156,476.3787203762895,768
640,3,4.5,17,362.9797908433432,797
641,3,4.5,38,501.1588798482821,797
643,3,4.0,38,712.459410555061,797
644,3,4.0,128,284.5124199910593,797
645,3,3.5,239,218.80560777660568,797
646,3,4.5,28,732.6479648049402,797
647,3,4.0,80,251.37440727535468,797
649,3,4.0,27,346.12163913361013,797
651,3,4.0,387,326.63632833314466,797
653,3,4.0,17,282.0563401366766,797
654,3,4.0,47,489.55722842067877,797
657,3,4.0,35,242.3993684130916,797
658,3,4.5,21,251.03368328111145,797
659,3,3.5,175,117.06509671494705,797
661,4,4.5,150,339.70095012481886,425
664,4,5.0,13,338.3339298772776,425
665,4,4.0,115,619.15261614632,425
666,4,4.0,13,777.5665762129945,425
667,4,4.5,8,364.48923924174414,425
668,4,4.5,6,373.32054795405975,425
669,4,4.0,317,526.0800961732468,425
670,4,4.5,51,994.8375733063699,425
672,4,4.5,59,542.6950161221704,425
673,4,4.5,63,416.5760859530349,425
674,4,3.5,29,431.24342360075326,425
675,4,4.0,246,591.2462813520724,425
676,4,4.5,44,973.7849694666527,425
677,4,4.0,328,377.61418174610685,425
678,4,4.0,370,622.5345964380533,425
679,4,4.5,8,713.0608789854747,425
680,10,5.0,27,38.25033186133411,808
682,10,4.5,305,739.3131718601712,808
684,10,4.5,129,16.64436170083894,808
685,10,4.5,6,245.64211140185097,808
686,10,4.5,36,458.98340245236227,808
687,10,4.5,22,289.3766213920902,808
688,10,4.5,219,206.08267258554488,808
689,10,4.0,5,460.59115976068733,808
690,10,4.0,118,389.0250776728167,808
691,10,4.0,28,247.6417564716565,808
692,10,4.5,83,667.9616903152455,808
694,10,4.5,18,296.51373386127665,808
695,10,5.0,39,291.72372380618106,808
696,10,4.5,13,413.00881304462695,808
697,10,4.0,373,112.02142037935188,808
698,10,5.0,8,249.28794298994384,808
699,10,4.5,15,910.4502379048183,808
700,1,4.0,61,573.9621125966897,192
701,1,4.5,276,485.2244182869466,192
702,1,4.5,131,657.5094484522973,192
703,1,4.0,30,479.6815677113971,192
704,1,4.5,22,706.2945134017891,192
706,1,4.0,73,611.7477073041042,192
707,1,3.5,85,683.9758813042707,192
708,1,4.5,3,567.4551434464747,192
709,1,4.0,26,683.4207445201201,192
710,1,4.5,128,693.9978749619977,192
711,1,4.5,13,651.3138955556587,192
712,1,4.0,245,607.7218766136717,192
713,1,4.0,24,805.9796904272753,192
714,1,4.5,23,630.3369744494219,192
715,1,4.0,175,1016.4009849008287,192
716,1,3.5,6,299.8093067229168,192
717,1,3.5,6,701.1756962032124,192
718,1,4.0,196,1050.536432301777,192
719,1,4.5,289,984.3077273885243,192
720,1,4.0,61,416.0096556151128,163
721,1,4.0,30,339.3120219098406,163
722,1,4.5,131,642.3990748287455,163
723,1,4.0,196,699.8448718060476,163
724,1,4.5,276,821.4652728781142,163
726,1,4.5,22,697.2024625970016,163
728,1,3.5,20,579.9251020184598,163
729,1,4.5,289,764.0204035655098,163
730,1,4.5,6,930.6729986716472,163
731,1,3.5,231,646.671446700085,163
732,1,4.0,24,797.8642949681603,163
733,1,4.0,151,588.8159240595936,163
734,1,4.0,27,598.6594090146127,163
735,1,3.5,6,668.9362829743575,163
736,1,3.5,6,352.19439896817613,163
737,1,3.5,80,393.8856897473036,163
738,1,4.0,36,782.7367916938101,163
739,1,4.5,128,830.0097704223821,163
740,5,4.5,131,312.672406362017,174
741,5,4.0,30,148.38809407959886,174
743,5,4.5,22,366.46633839013987,174
744,5,4.0,175,706.283641876325,174
745,5,4.0,61,753.4840168162292,174
746,5,4.0,27,889.3805189139936,174
747,5,4.5,289,671.8700541375913,174
748,5,3.5,6,350.1828120492988,174
749,5,4.5,276,827.5600484474803,174
750,5,4.5,128,477.8150380813671,174
751,5,4.5,24,753.2971636985706,174
752,5,4.0,24,469.75946726058334,174
753,5,4.0,245,388.59829706295926,174
754,5,4.5,13,442.41069673935857,174
755,5,5.0,1,283.4742868969403,174
756,5,4.5,2,44.7492087149716,174
757,5,4.5,3,844.4140135160269,174
758,5,4.0,2,363.5844671671049,174
