,name,rating,review_count,distance,latitude,longitude,total,api,query
226,Hermie’s,4.5,8,434.32610609235246,43.662365,-79.351104,135,yelp,restaurant
227,Supreme Taste,5.0,14,317.9089965215977,43.662365,-79.351104,135,yelp,restaurant
228,Gusto 501,4.0,67,1090.7436713941631,43.662365,-79.351104,135,yelp,restaurant
229,O’SOMAE,4.5,30,336.91406501838486,43.662365,-79.351104,135,yelp,restaurant
230,White Lily Diner,4.5,147,395.15201188048775,43.662365,-79.351104,135,yelp,restaurant
231,The Broadview Bistro Bar,4.0,1,384.88864335510215,43.662365,-79.351104,135,yelp,restaurant
232,Lady Marmalade,4.0,634,98.50401390247598,43.662365,-79.351104,135,yelp,restaurant
233,Prohibition Social House,3.5,17,390.19081897586005,43.662365,-79.351104,135,yelp,restaurant
234,Oji Seichi,4.0,38,332.6639597688941,43.662365,-79.351104,135,yelp,restaurant
235,Eastside Social,4.5,81,970.1342375499418,43.662365,-79.351104,135,yelp,restaurant
236,Isaan Der,4.0,24,390.1908682536591,43.662365,-79.351104,135,yelp,restaurant
237,Batifole Restaurant,4.0,84,576.7532473468949,43.662365,-79.351104,135,yelp,restaurant
238,Tabule Middle Eastern Cuisine,4.0,202,478.85747706141854,43.662365,-79.351104,135,yelp,restaurant
239,Que Ling Restaurant,4.0,94,407.85941618231294,43.662365,-79.351104,135,yelp,restaurant
240,Amano Trattoria,4.5,28,415.21660710232266,43.646144,-79.377962,875,yelp,restaurant
241,The Rabbit Hole,4.0,38,455.5987777426473,43.646144,-79.377962,875,yelp,restaurant
242,The Butcher Chef,4.5,17,386.107232838384,43.646144,-79.377962,875,yelp,restaurant
243,Richmond Station,4.5,908,591.0903170130698,43.646144,-79.377962,875,yelp,restaurant
244,Library Bar,4.0,128,255.4462873998327,43.646144,-79.377962,875,yelp,restaurant
245,Pai Northern Thai Kitchen,4.5,3503,883.769576992056,43.646144,-79.377962,875,yelp,restaurant
246,Beerbistro,4.0,682,395.9550978164954,43.646144,-79.377962,875,yelp,restaurant
247,Chotto Matte,4.0,165,74.87951564852816,43.646144,-79.377962,875,yelp,restaurant
248,King Taps,4.0,406,411.6998976731814,43.646144,-79.377962,875,yelp,restaurant
249,Byblos,4.5,912,832.2989915434127,43.646144,-79.377962,875,yelp,restaurant
250,Mama Lee's Korean Kitchen,4.0,27,352.8823870694561,43.646144,-79.377962,875,yelp,restaurant
251,Pearl Diver,4.0,632,691.2413200912739,43.646144,-79.377962,875,yelp,restaurant
252,Steam Whistle Biergarten,4.5,38,832.3359817589488,43.646144,-79.377962,875,yelp,restaurant
253,Cafe Oro Di Napoli,4.5,102,750.2689895843026,43.646144,-79.377962,875,yelp,restaurant
254,Cactus Club Cafe,4.0,610,523.4358328264425,43.646144,-79.377962,875,yelp,restaurant
255,Lucie,5.0,1,403.5958086075639,43.646144,-79.377962,875,yelp,restaurant
256,Chefs Hall,4.0,322,662.7426135656642,43.646144,-79.377962,875,yelp,restaurant
257,KINKA IZAKAYA HARBOURFRONT,4.0,80,551.1179814114469,43.646144,-79.377962,875,yelp,restaurant
258,Taverna Mercatto,3.5,239,545.9758375391707,43.646144,-79.377962,875,yelp,restaurant
259,Reign Restaurant + Bar + Bakery,4.0,35,319.29347705348914,43.646144,-79.377962,875,yelp,restaurant
260,Café Zuzu,4.5,10,563.1668804452689,43.663993,-79.35853399999999,174,yelp,restaurant
261,Dine & Dim,4.5,28,658.1226875003711,43.663993,-79.35853399999999,174,yelp,restaurant
262,Completo,4.5,15,518.8638516558465,43.663993,-79.35853399999999,174,yelp,restaurant
263,O’SOMAE,4.5,30,524.982551832188,43.663993,-79.35853399999999,174,yelp,restaurant
264,Supreme Taste,5.0,14,521.8591060015136,43.663993,-79.35853399999999,174,yelp,restaurant
265,Lady Marmalade,4.0,634,572.1678715786994,43.663993,-79.35853399999999,174,yelp,restaurant
266,Oji Seichi,4.0,38,490.552130430668,43.663993,-79.35853399999999,174,yelp,restaurant
267,White Lily Diner,4.5,147,825.9418966960494,43.663993,-79.35853399999999,174,yelp,restaurant
268,Ladybug Wine Bar,5.0,3,830.7884109116565,43.663993,-79.35853399999999,174,yelp,restaurant
269,Farside,4.5,11,575.1129840170222,43.663993,-79.35853399999999,174,yelp,restaurant
270,Urban House,4.5,13,905.918843419944,43.663993,-79.35853399999999,174,yelp,restaurant
271,Hermie’s,4.5,8,910.9745364352653,43.663993,-79.35853399999999,174,yelp,restaurant
272,The Broadview Bistro Bar,4.0,1,873.4489768843844,43.663993,-79.35853399999999,174,yelp,restaurant
273,Saigon PAI,4.5,59,747.8440944598224,43.663993,-79.35853399999999,174,yelp,restaurant
274,Que Ling Restaurant,4.0,94,759.6222941273753,43.663993,-79.35853399999999,174,yelp,restaurant
275,Gushi Japanese Street Food,4.0,17,733.8346785446415,43.663993,-79.35853399999999,174,yelp,restaurant
276,The Comrade,4.0,87,993.3839137259566,43.663993,-79.35853399999999,174,yelp,restaurant
277,Prohibition Social House,3.5,17,866.7070012584222,43.663993,-79.35853399999999,174,yelp,restaurant
278,The House On Parliament,4.0,317,755.6913828491174,43.663993,-79.35853399999999,174,yelp,restaurant
279,Dumpling House,3.5,89,623.7935915903186,43.663993,-79.35853399999999,174,yelp,restaurant
280,Katsuya,4.5,503,442.95659892815775,43.657266,-79.374756,910,yelp,restaurant
281,KINKA IZAKAYA ORIGINAL,4.0,1819,484.2223848001471,43.657266,-79.374756,910,yelp,restaurant
282,Adobar,5.0,5,57.19334397687788,43.657266,-79.374756,910,yelp,restaurant
283,Som Tum Jinda,4.0,13,428.475754648505,43.657266,-79.374756,910,yelp,restaurant
284,The Senator,4.0,495,380.25008130396054,43.657266,-79.374756,910,yelp,restaurant
285,Mogouyan Hand-Pulled Noodles,4.5,76,800.849888060463,43.657266,-79.374756,910,yelp,restaurant
